ProductName,Price,Rate,Review,Summary,text,sentiment
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",199,4,"i ordered this cable to connect my phone to android auto of car. the cable is really strong and the connection ports are really well made. i already has a micro usb cable from ambrane and it's still in good shape. i connected my phone to the car using the cable and it got connected well and no issues. i also connected it to the charging port and yes it has fast charging support.,it quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,value for money, with extra lengthð,good, working fine,product quality is good,good,very good,bought for my daughter's old phone.brand new cable it was not charging, i already repacked and requested for replacement.i checked again, and there was some green colour paste/fungus inside the micro usb connector. i cleaned with an alcoholic and starts working again.checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.can't blame the manufacturer.but quality issues by the distributor, they might have stored in very humid place.","a good braided cable for your type c device,good quality product from ambrane,super cable,as,good quality,good product,its good,good quality for the price but one issue with my unit","a good braided cable for your type c device,good quality product from ambrane,super cable,as,good quality,good product,its good,good quality for the price but one issue with my unit i ordered this cable to connect my phone to android auto of car. the cable is really strong and the connection ports are really well made. i already has a micro usb cable from ambrane and it's still in good shape. i connected my phone to the car using the cable and it got connected well and no issues. i also connected it to the charging port and yes it has fast charging support.,it quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,value for money, with extra lengthð,good, working fine,product quality is good,good,very good,bought for my daughter's old phone.brand new cable it was not charging, i already repacked and requested for replacement.i checked again, and there was some green colour paste/fungus inside the micro usb connector. i cleaned with an alcoholic and starts working again.checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.can't blame the manufacturer.but quality issues by the distributor, they might have stored in very humid place.",Positive
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",199,4,"i ordered this cable to connect my phone to android auto of car. the cable is really strong and the connection ports are really well made. i already has a micro usb cable from ambrane and it's still in good shape. i connected my phone to the car using the cable and it got connected well and no issues. i also connected it to the charging port and yes it has fast charging support.,it quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,value for money, with extra lengthð,good, working fine,product quality is good,good,very good,bought for my daughter's old phone.brand new cable it was not charging, i already repacked and requested for replacement.i checked again, and there was some green colour paste/fungus inside the micro usb connector. i cleaned with an alcoholic and starts working again.checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.can't blame the manufacturer.but quality issues by the distributor, they might have stored in very humid place.","a good braided cable for your type c device,good quality product from ambrane,super cable,as,good quality,good product,its good,good quality for the price but one issue with my unit","a good braided cable for your type c device,good quality product from ambrane,super cable,as,good quality,good product,its good,good quality for the price but one issue with my unit i ordered this cable to connect my phone to android auto of car. the cable is really strong and the connection ports are really well made. i already has a micro usb cable from ambrane and it's still in good shape. i connected my phone to the car using the cable and it got connected well and no issues. i also connected it to the charging port and yes it has fast charging support.,it quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,value for money, with extra lengthð,good, working fine,product quality is good,good,very good,bought for my daughter's old phone.brand new cable it was not charging, i already repacked and requested for replacement.i checked again, and there was some green colour paste/fungus inside the micro usb connector. i cleaned with an alcoholic and starts working again.checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.can't blame the manufacturer.but quality issues by the distributor, they might have stored in very humid place.",Positive
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",249,4,"i ordered this cable to connect my phone to android auto of car. the cable is really strong and the connection ports are really well made. i already has a micro usb cable from ambrane and it's still in good shape. i connected my phone to the car using the cable and it got connected well and no issues. i also connected it to the charging port and yes it has fast charging support.,it quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,value for money, with extra lengthð,good, working fine,product quality is good,good,very good,bought for my daughter's old phone.brand new cable it was not charging, i already repacked and requested for replacement.i checked again, and there was some green colour paste/fungus inside the micro usb connector. i cleaned with an alcoholic and starts working again.checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.can't blame the manufacturer.but quality issues by the distributor, they might have stored in very humid place.","a good braided cable for your type c device,good quality product from ambrane,super cable,as,good quality,good product,its good,good quality for the price but one issue with my unit","a good braided cable for your type c device,good quality product from ambrane,super cable,as,good quality,good product,its good,good quality for the price but one issue with my unit i ordered this cable to connect my phone to android auto of car. the cable is really strong and the connection ports are really well made. i already has a micro usb cable from ambrane and it's still in good shape. i connected my phone to the car using the cable and it got connected well and no issues. i also connected it to the charging port and yes it has fast charging support.,it quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,value for money, with extra lengthð,good, working fine,product quality is good,good,very good,bought for my daughter's old phone.brand new cable it was not charging, i already repacked and requested for replacement.i checked again, and there was some green colour paste/fungus inside the micro usb connector. i cleaned with an alcoholic and starts working again.checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.can't blame the manufacturer.but quality issues by the distributor, they might have stored in very humid place.",Positive
Flix Micro Usb Cable For Smartphone (Black),59,4,"worked on iphone 7 and didnât work on iphone xr, i didnât like it. still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it . looks last long.,the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,it's great for charging devices with various types of ports. but works best when charging one device at a time.,good item.","worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well.","worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well. worked on iphone 7 and didnât work on iphone xr, i didnât like it. still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it . looks last long.,the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,it's great for charging devices with various types of ports. but works best when charging one device at a time.,good item.",Positive
"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",299,4,"the product seems and works good but it's not a fast charging cable as it has to be and when all the three ports are connected its more slower i'm charging only good is single cable all three ports are there so its a ok product only if yiu are looking for fast charging then i would say think twice before you buyi have been using foe a while now this is for sure not a fast charging cable and in this tge lightning charger is not working properly every now and then i have to check its it charging my iphone and i had to unplug and reply for charging its getting disconnected i don't understand how so this cable is no ok,i used this type c most commonly depending on my devices power wats and also etc,,nice charger,charging is bit slow when u connect multiple devices.cannot transfer data.only charging purpose.,so nice colour cheap and best,the cable looks decent with charging. but not fit for me as it does not support apple car play,","ok cable,three pin with hybrid wire,sturdy,nice,good.,so good,carplay not supported,à¤ªà¥à¤¸à¤¾ à¤µà¤¸à¥à¤² ð","ok cable,three pin with hybrid wire,sturdy,nice,good.,so good,carplay not supported,à¤ªà¥à¤¸à¤¾ à¤µà¤¸à¥à¤² ð the product seems and works good but it's not a fast charging cable as it has to be and when all the three ports are connected its more slower i'm charging only good is single cable all three ports are there so its a ok product only if yiu are looking for fast charging then i would say think twice before you buyi have been using foe a while now this is for sure not a fast charging cable and in this tge lightning charger is not working properly every now and then i have to check its it charging my iphone and i had to unplug and reply for charging its getting disconnected i don't understand how so this cable is no ok,i used this type c most commonly depending on my devices power wats and also etc,,nice charger,charging is bit slow when u connect multiple devices.cannot transfer data.only charging purpose.,so nice colour cheap and best,the cable looks decent with charging. but not fit for me as it does not support apple car play,",Positive
"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",179,4,"the cable build quality is good for normal charging its great cable but doesnât support quick charging,works for charging but other applications are hit or miss.example my external keyboard doesn't work with it!,best quality and length of wire was qute good and durability also good .,the cable is awesome and no charging issue till now.... because it is a braided cable... chance of it damage are very less... overall... i like the product ð¤ð»,using this cable from past 40 days to charge lg g7thinq and samsung s21fe. so far super,good,seems durable but there is a problem with the design that the pin is not long enough / base of the pin is too thick that i couldn't insert it into my phone's charging port without removing the case!,over all quality bht achhi hai bs jo braided material use hua hai wo nylon nhi hai cotton type ka hai lekin â¹99 me 1.5m cable k hisaab se bht achhi hai majboot hai or charging bhi thik hai. maine chapti wali buy ki thi jo photo me dikh rhi hai lekin delever ye gol wali hui jo ki jada better look deti hai. agar â¹150 me mile to mt lena utne layak nhi hai.","good product,good for charging, bad for data transfer,wait to get mexmum discount.,the cable quality is best and charging pin is at right position to stand ðð»,so far super,good,good but issues with design,maine â¹99 me liya hai offer me or ye worth hai.","good product,good for charging, bad for data transfer,wait to get mexmum discount.,the cable quality is best and charging pin is at right position to stand ðð»,so far super,good,good but issues with design,maine â¹99 me liya hai offer me or ye worth hai. the cable build quality is good for normal charging its great cable but doesnât support quick charging,works for charging but other applications are hit or miss.example my external keyboard doesn't work with it!,best quality and length of wire was qute good and durability also good .,the cable is awesome and no charging issue till now.... because it is a braided cable... chance of it damage are very less... overall... i like the product ð¤ð»,using this cable from past 40 days to charge lg g7thinq and samsung s21fe. so far super,good,seems durable but there is a problem with the design that the pin is not long enough / base of the pin is too thick that i couldn't insert it into my phone's charging port without removing the case!,over all quality bht achhi hai bs jo braided material use hua hai wo nylon nhi hai cotton type ka hai lekin â¹99 me 1.5m cable k hisaab se bht achhi hai majboot hai or charging bhi thik hai. maine chapti wali buy ki thi jo photo me dikh rhi hai lekin delever ye gol wali hui jo ki jada better look deti hai. agar â¹150 me mile to mt lena utne layak nhi hai.",Positive
"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices â Red, 1 Meter",199,4,"it does the job really well. no complaints regarding the charging power. at a price of rs. 199/-, it is worth every buck. although this cable is a bit shorter than the original one, but the original oneplus cable is around rs.900/-. so there is a huge price difference, and it does the same job as the original one.,useful for âcâ type charging. but not suitable with all adapters or usb points. serves the purpose.,sturdily built. does its job well. charged my samsung galaxy m51 quicker than the original cable. hope it stays the same going ahead.,liked the charging speed disliked the length. on ipads this is awesome but itâs is not 6 foot long so this the only point to think otherwise it is the best cable,good,everything is good including connectivity and stuff,nice product..im using this for my car,this product is nice and worth the amount...i recommend it to anyone who are looking for this kind of cable","worth it!,good one,robust and effective.,good,good,it's a good product under 199 rupees it's neatly packed and has good quality built,nice product,worth the price","worth it!,good one,robust and effective.,good,good,it's a good product under 199 rupees it's neatly packed and has good quality built,nice product,worth the price it does the job really well. no complaints regarding the charging power. at a price of rs. 199/-, it is worth every buck. although this cable is a bit shorter than the original one, but the original oneplus cable is around rs.900/-. so there is a huge price difference, and it does the same job as the original one.,useful for âcâ type charging. but not suitable with all adapters or usb points. serves the purpose.,sturdily built. does its job well. charged my samsung galaxy m51 quicker than the original cable. hope it stays the same going ahead.,liked the charging speed disliked the length. on ipads this is awesome but itâs is not 6 foot long so this the only point to think otherwise it is the best cable,good,everything is good including connectivity and stuff,nice product..im using this for my car,this product is nice and worth the amount...i recommend it to anyone who are looking for this kind of cable",Positive
"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Sync, Solid Cable, 1 Meter Long USB Cable for Micro USB Devices (White)(XCD-M11)",59,4,"worked on iphone 7 and didnât work on iphone xr, i didnât like it. still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it . looks last long.,the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,it's great for charging devices with various types of ports. but works best when charging one device at a time.,good item.","worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well.","worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well. worked on iphone 7 and didnât work on iphone xr, i didnât like it. still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it . looks last long.,the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,it's great for charging devices with various types of ports. but works best when charging one device at a time.,good item.",Positive
Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,139,4,"i am writing this review after 2 months, the first cable had a cut and had to be replaced, the second cable is working fine, no issues, using it to charge me ps3 controller, works fine, at a good price, planning to pick up another one as a spare.,product ok.,i bought this cable to charge my 10w bluetooth speaker and its working as expected.,it's lengthy and usable for car dashcam.quality is average and micro type b end does sit very tight.otherwise, it's all good.but keep checking price of amazon basics cable of this type , price drops many times. that's better quality.,this is one of the good product in this price range. quality is okay,using it for my laptop cooling pad. overall build looks sturdy, but longevity cannot confirm. also, you cannot connect 2 pcs using a male to male usb. that is not how it works. stop writing negative reviews after using this cable for something that it was not intended for.can confirm that it is ~1.2m as most other products and not 1.5m as the seller claims both in title and on stickers on the product.no review mentions this. but i needed a 1.5m length for perfect use. so disappointed as i have to rotate the cooling pad and use it (cable falls short by around 15cm).,it works well. the cable is soft and flexible. in all probability, it will last long also.,but pover quality","a well-priced product.,lenthy cord.,product is working as expected.,lengthy cable, works for car dashcam,product is okay but they give 50rs for giving 5 stars.,misleading length (1.2m), rest fine,good product,good","a well-priced product.,lenthy cord.,product is working as expected.,lengthy cable, works for car dashcam,product is okay but they give 50rs for giving 5 stars.,misleading length (1.2m), rest fine,good product,good i am writing this review after 2 months, the first cable had a cut and had to be replaced, the second cable is working fine, no issues, using it to charge me ps3 controller, works fine, at a good price, planning to pick up another one as a spare.,product ok.,i bought this cable to charge my 10w bluetooth speaker and its working as expected.,it's lengthy and usable for car dashcam.quality is average and micro type b end does sit very tight.otherwise, it's all good.but keep checking price of amazon basics cable of this type , price drops many times. that's better quality.,this is one of the good product in this price range. quality is okay,using it for my laptop cooling pad. overall build looks sturdy, but longevity cannot confirm. also, you cannot connect 2 pcs using a male to male usb. that is not how it works. stop writing negative reviews after using this cable for something that it was not intended for.can confirm that it is ~1.2m as most other products and not 1.5m as the seller claims both in title and on stickers on the product.no review mentions this. but i needed a 1.5m length for perfect use. so disappointed as i have to rotate the cooling pad and use it (cable falls short by around 15cm).,it works well. the cable is soft and flexible. in all probability, it will last long also.,but pover quality",Positive
"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cable for Data Transfer Perfect for Android Smart Phones White 1.2 Meter Made in India (Pack of 2)",115,4,"liked the product. accurate to my usb apparatus.,good value,till now i had purchased about 20 cables both micro and c type for myself and my family in this last one year. its all because this brand wins my trust by provinding great quality with reasonable price,na,tested with 2.4 amps charger and phone. gives full 2.4 amps power to phone.the cable looks thick and it has nice texture. despite that, i am sure it is not very durable. the usb connectors are extremely sturdy and they dont bend or flex. the wire will break before the connector does!!warning: usb micro connector has a strong hook. be careful while plugging and unplugging, or you may damage your device.very cheap and usable cable for 120 rs,super power,nice product.,in this price this is the best one","very good product and met my need. thanks,decent value,nice qualityâ¦ trustableâ¦,just well in this price.,supports 2.4 amps fast charging,nice,nice.,value for money","very good product and met my need. thanks,decent value,nice qualityâ¦ trustableâ¦,just well in this price.,supports 2.4 amps fast charging,nice,nice.,value for money liked the product. accurate to my usb apparatus.,good value,till now i had purchased about 20 cables both micro and c type for myself and my family in this last one year. its all because this brand wins my trust by provinding great quality with reasonable price,na,tested with 2.4 amps charger and phone. gives full 2.4 amps power to phone.the cable looks thick and it has nice texture. despite that, i am sure it is not very durable. the usb connectors are extremely sturdy and they dont bend or flex. the wire will break before the connector does!!warning: usb micro connector has a strong hook. be careful while plugging and unplugging, or you may damage your device.very cheap and usable cable for 120 rs,super power,nice product.,in this price this is the best one",Positive
